method,seed,intent_id,intent_name,feature_id,test_intent_support,active_test_ids,top_k_observed,top20_intent_purity,top20_locale_entropy,cross_locale_stability,heldout_auc,validation_auc,validation_stability,top_ids
Blockwise SAE control,20260827,16,takeaway_order,943,22,135,20,0.5,0.4689955935892812,0.6217180367140592,0.9464296735172499,0.9494506278538811,0.8621119504431829,1379|1831|5488|1516|11677|2414|3295|168|11802|4934|3835|1043|1247|2480|4137|6112|5406|5840|3021|132
Blockwise SAE control,20260827,17,email_querycontact,1943,26,105,20,0.45,0.7219280948873623,0.5543917761747434,0.6817706426815877,0.6222531392694064,0.6907756378181482,16907|13154|15815|16874|16529|16983|15982|16583|16373|11146|4073|15488|13370|4174|3441|16975|13491|16797|13040|426
Blockwise SAE control,20260827,18,iot_hue_lightup,967,27,34,20,0.6,0.8812908992306927,0.32609049429655795,0.7940169002732756,0.7035530821917808,0.42343514671141275,3700|5727|3762|3834|2403|1756|3883|5165|3595|2075|2234|1993|12675|4896|3543|1071|3011|158|15563|2082
Blockwise SAE control,20260827,19,recommendation_locations,1920,31,85,20,0.5,0.28639695711595625,0.6726483342316207,0.929673685019825,0.9050009562057756,0.7822375871911693,11916|11778|12066|11947|12930|12019|11706|11959|13619|11839|11969|11954|11802|11782|11942|12054|14792|12098|11911|12797
Blockwise SAE control,20260827,20,play_audiobook,925,41,51,20,0.0,0.8112781244591328,0.028471693782781433,0.5034956294216171,0.49785223367697595,-0.004040267325880367,11474|14967|9323|4654|13694|16375|10077|14096|9940|14505|14684|14316|3986|8741|2957|15904|4173|11146|939|3222
Blockwise SAE control,20260827,21,lists_createoradd,219,39,17,17,0.23529411764705882,0.6722948170756379,-0.002147145229304094,0.5490453554639284,0.5530694205393,0.20388844838127504,10812|10427|10757|11023|10776|11085|10895|10738|10031|10455|10430|10756|10996|10979|10770|10678|11024
Blockwise SAE control,20260827,22,news_query,487,124,304,20,1.0,0.28639695711595625,0.7751902516176614,0.9034654167233792,0.8648672566371681,0.8036162582792166,15214|3060|2315|178|5270|424|441|2651|5930|1474|3603|1061|2496|3039|5286|3624|2203|2594|3605|5297
Blockwise SAE control,20260827,23,alarm_query,1074,34,136,20,0.25,0.8812908992306927,0.2197765394993288,0.7194253979710494,0.7084660622396471,0.3375057039298033,508|6045|2983|13035|4121|10206|10956|10224|4851|4017|5006|7266|6101|13122|3742|8498|8795|13297|13552|5198
Blockwise SAE control,20260827,24,iot_wemo_on,1749,10,32,20,0.05,0.8112781244591328,0.40547697534306115,0.5449797160243408,0.4957410562180579,0.6166724750601282,4154|16693|5050|11081|14414|9885|41|11174|9524|322|16624|9855|11384|13451|15348|11420|14272|9678|14963|5501
Blockwise SAE control,20260827,25,general_joke,766,19,102,20,0.75,0.9709505944546686,0.5950544096243469,0.9723992075815173,0.5833333333333334,,6147|4217|2721|1256|4216|4982|412|494|1579|6517|8672|5952|1372|411|527|1158|12008|13074|13400|3330
Blockwise SAE control,20260827,26,qa_definition,147,57,65,20,0.8,0.9709505944546686,0.331779715163675,0.7232939786773701,0.6129298162976919,0.30364051126833436,14622|13761|13689|13714|14429|13361|13908|15127|14700|13863|12982|13705|13242|14150|13165|14794|14347|14995|10125|14147
Blockwise SAE control,20260827,27,social_query,2270,25,119,20,0.35,0.8112781244591328,0.1929575411964644,0.6454909955827387,0.6749680034129693,0.5224013236463465,15321|15304|15326|11339|11426|11858|15249|15444|15177|11862|15296|15337|3398|15459|11368|783|15508|15333|15560|15345
Blockwise SAE control,20260827,28,music_settings,837,6,21,20,0.0,1.0,0.06423234336565804,0.49645509790681974,0.5819136854060193,-0.003491122796185891,4116|1127|2560|11335|297|2108|1833|3124|391|6372|473|7100|4477|10023|15113|11124|1063|576|8916|13348
Blockwise SAE control,20260827,30,calendar_remove,2480,67,95,20,0.4,0.0,0.016269078668228205,0.721357020481872,0.682886767272354,0.3093443285390381,10887|11168|8409|6798|10743|8888|10828|10433|8732|10462|10527|10565|7836|7892|10673|8769|10936|8302|11023|11133
Blockwise SAE control,20260827,31,iot_hue_lightdim,378,21,7,7,0.14285714285714285,0.863120568566631,-0.001043277749969269,0.5228238563834086,0.6418769909335947,,1423|964|6331|14601|13122|3686|11705
Blockwise SAE control,20260827,32,calendar_query,68,126,384,20,0.5,0.9709505944546686,0.3959595900357374,0.6920986785518806,0.6247618169524862,0.24920196976068376,7316|7539|7693|7496|8782|10493|10931|15789|8058|15181|11107|10455|16712|7690|7266|14071|16467|8559|7762|15933
Blockwise SAE control,20260827,33,email_sendemail,2039,114,110,20,1.0,0.7219280948873623,0.6187548278979174,0.7844269046828705,0.6788260869565217,0.6729329547645619,16995|17011|16622|16005|15796|17043|16314|17143|16297|16282|16780|16103|16496|15756|17123|16028|16245|16892|16605|16880
Blockwise SAE control,20260827,34,iot_cleaning,1587,26,61,20,0.95,0.0,0.6739450567446357,0.960806358834911,0.8999145299145299,0.9862204324570268,292|1575|2903|4013|5697|4173|864|5330|2959|4240|4201|3841|843|1059|290|2434|2960|1924|1151|4043
Blockwise SAE control,20260827,35,audio_volume_down,806,11,0,0,0.0,0.0,0.0,0.5,0.4991482112436116,1.0,
Blockwise SAE control,20260827,36,play_radio,1259,72,100,20,0.95,0.8812908992306927,0.6820833786185001,0.9144269874155925,0.8919580853174601,0.920460752974062,9326|9520|9361|9321|9317|9212|9225|9394|9408|9542|9561|9237|9250|9601|9353|9362|9384|9406|9471|3101
Blockwise SAE control,20260827,38,datetime_convert,1821,15,36,20,0.25,1.0,0.6984998286751831,0.6631222485607856,1.0,0.9311089931747544,944|5332|5333|10125|5497|4845|1803|14822|14787|15055|14564|13761|6542|9971|1120|13639|8426|5016|6962|14339
Blockwise SAE control,20260827,39,qa_maths,351,25,42,20,0.85,0.7219280948873623,0.6128742911699002,0.8786952089704383,0.7497874149659863,0.8240772858012886,13552|13459|14615|13035|13412|13102|13172|13766|14268|13310|13101|13391|13359|13460|14223|13370|4601|14130|14342|14025
Blockwise SAE control,20260827,40,iot_hue_lightoff,733,43,31,20,0.55,0.28639695711595625,0.19649744625690474,0.6486503677201352,0.5897497852233677,0.6687666696987434,4026|914|4346|3098|2711|2774|2298|6041|651|3774|10338|4024|369|999|1786|2566|1774|1454|2679|964
Blockwise SAE control,20260827,41,iot_hue_lighton,2297,3,17,17,0.058823529411764705,0.3227569588973982,0.3580753614658547,0.6644182124789207,0.499151103565365,-0.0016977928692699425,14382|12951|3570|12817|3522|12294|15137|2578|10049|6073|8585|8681|31|5027|14246|14040|5524
Blockwise SAE control,20260827,42,transport_query,1057,51,165,20,0.6,0.934068055375491,0.7915562363652937,0.9201166925460619,0.8823388793268311,0.9164228801119019,12366|12354|12634|12402|12618|12245|12252|12835|12446|12343|12813|12339|12722|12873|12581|12874|12162|12453|12908|12233
Blockwise SAE control,20260827,43,music_likeness,786,36,25,20,0.0,0.4689955935892812,0.1064609741403082,0.5097108534182203,0.49444444444444446,0.26413107055482826,13074|2432|5966|8828|11733|15402|9931|15113|6542|6023|7817|14190|6909|15763|9930|10125|6127|15857|8436|4377
